run_id,ts,db,K,policy_ids,baseline,query_id,warmup_runs,timed_runs,planning_ms,execution_ms,total_ms,peak_rss_mb,status,error_type,error_msg,result_count,ours_count,rls_count,correctness
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,1,0,1,0.483,755.318,755.801,57.621,ok,,,3,3,3,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,1,0,1,0.454,387.395,387.849,25.234,ok,,,3,3,3,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,2,0,1,0.544,525.591,526.135,66.090,ok,,,41,41,41,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,2,0,1,0.549,464.935,465.484,53.234,ok,,,41,41,41,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,3,0,1,0.246,313.193,313.439,113.133,ok,,,1139,1139,1139,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,3,0,1,0.220,113.998,114.218,76.734,ok,,,1139,1139,1139,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,4,0,1,0.149,305.826,305.975,118.133,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,4,0,1,0.131,138.154,138.285,81.574,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,5,0,1,0.517,459.076,459.593,118.633,ok,,,5,5,5,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,5,0,1,0.456,135.192,135.648,79.773,ok,,,5,5,5,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,6,0,1,0.106,133.369,133.475,119.133,ok,,,11482,11482,11482,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,6,0,1,0.059,93.809,93.868,79.773,ok,,,11482,11482,11482,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,7,0,1,0.361,278.093,278.454,120.133,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,7,0,1,0.380,106.576,106.956,80.273,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,8,0,1,0.447,462.091,462.538,120.633,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,8,0,1,0.485,130.106,130.591,80.773,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,9,0,1,0.509,576.399,576.908,121.133,ok,,,100,100,100,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,9,0,1,0.506,200.126,200.632,83.773,ok,,,100,100,100,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,10,0,1,0.298,270.315,270.613,121.633,ok,,,3845,3845,3845,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,10,0,1,0.249,121.346,121.595,149.039,ok,,,3845,3845,3845,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,11,0,1,0.202,76.030,76.232,121.633,ok,,,2753,2753,2753,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,11,0,1,0.182,27.934,28.116,148.621,ok,,,2753,2753,2753,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,12,0,1,0.152,225.674,225.826,122.133,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,12,0,1,0.131,127.082,127.213,148.621,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,13,0,1,0.183,144.547,144.730,122.133,ok,,,37,37,37,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,13,0,1,0.167,96.216,96.383,148.621,ok,,,37,37,37,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,14,0,1,0.130,135.195,135.325,122.633,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,14,0,1,0.092,84.408,84.500,148.621,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,15,0,1,0.161,120.986,121.147,123.133,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,15,0,1,0.139,64.149,64.288,148.621,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,16,0,1,0.261,75.276,75.537,123.133,ok,,,2846,2846,2846,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,16,0,1,0.237,51.281,51.518,148.621,ok,,,2846,2846,2846,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,17,0,1,0.153,10235.763,10235.916,177.980,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,17,0,1,0.128,10131.429,10131.557,219.395,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,18,0,1,0.290,487.458,487.748,189.594,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,18,0,1,0.263,234.398,234.661,229.406,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,19,0,1,0.256,170.753,171.009,190.113,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,19,0,1,0.230,19043.479,19043.709,223.344,ok,,,1,1,1,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,21,0,1,0.398,193025.582,193025.980,190.648,ok,,,43,43,43,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,21,0,1,0.449,62356.056,62356.505,223.344,ok,,,43,43,43,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,ours,22,0,1,0.188,77.851,78.039,170.156,ok,,,7,7,7,1
dashboard_full_20260214_000516,2026-02-14T00:14:40+05:30,tpch0_1,1,1,rls_with_index,22,0,1,0.196,36.604,36.800,223.344,ok,,,7,7,7,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,1,0,1,0.684,1088.393,1089.077,147.000,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,1,0,1,0.805,109.332,110.137,94.176,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,2,0,1,0.658,529.692,530.350,157.168,ok,,,41,41,41,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,2,0,1,0.583,475.300,475.883,127.426,ok,,,41,41,41,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,3,0,1,0.458,965.718,966.176,234.668,ok,,,311,311,311,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,3,0,1,0.324,73.382,73.706,150.523,ok,,,311,311,311,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,4,0,1,0.269,945.243,945.512,258.859,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,4,0,1,0.270,64.089,64.359,151.023,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,5,0,1,0.912,1054.386,1055.298,258.832,ok,,,5,5,5,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,5,0,1,0.569,76.209,76.778,151.023,ok,,,5,5,5,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,6,0,1,0.332,807.231,807.563,259.332,ok,,,1691,1691,1691,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,6,0,1,0.162,40.241,40.403,151.023,ok,,,1691,1691,1691,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,7,0,1,0.382,947.288,947.670,259.355,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,7,0,1,0.491,57.655,58.146,151.023,ok,,,2,2,2,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,8,0,1,0.493,1065.090,1065.583,259.484,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,8,0,1,0.623,77.982,78.605,151.023,ok,,,0,0,0,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",ours,9,0,1,0.538,522.233,522.771,259.492,ok,,,100,100,100,1
dashboard_full_20260214_000516,2026-02-14T00:20:47+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,9,0,1,0.629,336.845,337.474,151.023,ok,,,100,100,100,1
